atf4_authority_name,atf4_authority_code,internal_region_name,authority_name_alternative_1,authority_name_alternative_2,authority_name_alternative_3
Bedford,BED,Bedford,Bedford,Bedford UA,Bedford Unitary Authority
Blackburn with Darwen,BLD,Blackburn with Darwen,Blackburn with Darwen,Blackburn with Darwen UA,Blackburn with Darwen Unitary Authority
Blackpool,BLA,Blackpool,Blackpool,Blackpool UA,Blackpool Unitary Authority
"Bournemouth, Christchurch and Poole",BCP,"Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole","Bournemouth, Christchurch and Poole UA","Bournemouth, Christchurch & Poole Unitary Authority"
Bracknell Forest,BRA,Bracknell Forest,Bracknell Forest,Bracknell Forest UA,Bracknell Forest Unitary Authority
Brighton and Hove,BHA,Brighton and Hove,Brighton and Hove,Brighton and Hove,Brighton & Hove Unitary Authority
Buckinghamshire,BCK,Buckinghamshire,Buckinghamshire,Buckinghamshire CC,Buckinghamshire Unitary Authority
Cambridgeshire and Peterborough Combined Authority,CAP,Cambridgeshire and Peterborough,Cambridgeshire and Peterborough CA,Cambridgeshire and Peterborough CA,Cambridgeshire & Peterborough Combined Authority
Central Bedfordshire,CBD,Central Bedfordshire,Central Bedfordshire,Central Bedfordshire UA,Central Bedfordshire Unitary Authority
Cheshire East,CHE,Cheshire East,Cheshire East,Cheshire East UA,Cheshire East Unitary Authority
Cheshire West and Chester,CHW,Cheshire West and Chester,Cheshire West and Chester,Cheshire West and Chester UA,Cheshire West & Chester Unitary Authority
Cornwall,CRN,Cornwall,Cornwall,Cornwall UA,Cornwall Unitary Authority
Cumbria,CUM,Cumbria,Cumbria,Cumbria CC,Cumbria County Council
Derby,DER,Derby,Derby,Derby UA,Derby Unitary Authority
Derbyshire,DCC,Derbyshire,Derbyshire,Derbyshire CC,Derbyshire County Council
Devon,DEV,Devon,Devon,Devon CC,Devon County Council
Dorset,DOR,Dorset,Dorset,Dorset Council UA,Dorset Unitary Authority
East Riding of Yorkshire,ERY,East Riding of Yorkshire,East Riding of Yorkshire,East Riding of Yorkshire UA,East Riding of Yorkshire Unitary Authority
East Sussex,ESU,East Sussex,East Sussex,East Sussex CC,East Sussex County Council
Essex,ESX,Essex,Essex,Essex,Essex County Council
Gloucestershire,GLO,Gloucestershire,Gloucestershire,Gloucestershire CC,Gloucestershire County Council
Greater Manchester Combined Authority,GMA,Greater Manchester,Greater Manchester CA,Greater Manchester CA,Greater Manchester Combined Authority
